First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance
Cesar,Cabrera,22-Jun-89,45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,2044,3044,1806.19,1685.66,-1906.17
Christopher,Reyes,4-May-89,46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,1045,2045,3045,1330.23,4039.37,-444.4
Dafne,Bencomo,12-Jul-72,47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,2046,3046,519.88,1812.87,-1863.49
David,Baptiste,5-May-98,48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,2047,3047,1076.98,3271.72,-281.86
Derek,Aguirre,5-May-41,49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,2048,3048,1845.56,3352.49,-58.57
Eduardo,Garcia,2-Jun-92,50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,1049,2049,3049,1243.42,1243.48,-862.06
Ervey,Montes,5-Mar-59,51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,1050,2050,3050,1584.85,1304.98,-677.71
Estevan,Ramos,15-Dec-36,52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,1051,2051,3051,760.91,2939.07,-860.87
Federico,Marin,18-Jan-09,53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,1052,2052,3052,1917.27,2348.86,-267.18
Gavin,Baechle,16-Sep-58,54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,2053,3053,1734.37,4768.87,-886.85
Gildardo,Orea,13-Mar-51,55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,1054,2054,3054,291.85,179.25,-1514.01
Grecia,Navarrete,1-Aug-60,56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,1055,2055,3055,1622.04,2738.6,-305.52
Hernan,Garcia,30-Mar-42,57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,1056,2056,3056,135.23,3011.8,-990.67
Isaiah,Landin,28-Feb-28,58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,1057,2057,3057,1816.52,1600.38,-407.11
Jose,Rodriguez Ortega,8-Sep-52,59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,1058,2058,3058,398.46,789.31,-405.22
Joseph,Medina - Sandoval,18-Sep-36,60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,1059,2059,3059,903.51,3790.64,-678.52
Juan,Gutierrez,9-Jan-89,61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,1060,2060,3060,526.23,3227.73,-1581.21
Juan,Rabelo,29-Apr-52,62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,1061,2061,3061,1851.26,3607.48,-674.27
Judith,Garcia,7-Mar-97,63,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,1062,2062,3062,1740.54,3508.77,-444.56
Laura,Blanco,7-Aug-04,64,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,2063,3063,1506.74,4347.22,-1050.73
Laurence,Labayen,11-Mar-10,65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,1064,2064,3064,1079.13,4572.26,-1064.52
Lidice,Castro Jimenez,27-Jan-84,66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,2065,3065,1942.67,655.67,-1930.17
Manuel,Melendez Lujan,18-Mar-36,67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,1066,2066,3066,1311.35,4334.35,-1003.98
Manuel,Ruvalcaba,30-Dec-42,68,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,1067,2067,3067,870.6,1038.13,-326.57
Mauricio,Ornelas-Gutierrez,7-Aug-36,69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,1068,2068,3068,192.14,1218.43,-1129.63
Minh,Dang,21-Dec-09,70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,2069,3069,623.42,1691.78,-1966.94
Oscar,Decena,14-Nov-07,71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,2070,3070,1450.22,529.74,-689.71
Robert,Evans,8-Aug-55,72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,1071,2071,3071,1223.55,2907.59,-329.08
Roberto,Carrasco,21-Oct-02,73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,2072,3072,1152.39,2408.91,-160.0
Sofia,Hernandez,20-Apr-52,74,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,1073,2073,3073,1515.79,740.81,-1721.04
Yulianna,Torres,20-Aug-92,75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,1074,2074,3074,1035.19,3391.57,-1545.62
Nathan,Aun,6-Aug-94,76,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,2075,3075,1352.3,132.29,-1240.71
Khandoker,Rahad,15-Jun-57,77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,1076,2076,3076,220.57,1902.09,-157.39
Daniel,Mejia,29-Jan-36,78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,1077,2077,3077,1887.12,2051.62,-1231.96
Daniel,A,5-Mar-39,79,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,2078,3078,857.56,3364.79,-786.93
Daniel,B,25-Dec-18,80,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,2079,3079,362.4,2413.6,-1911.51
Daniel,C,25-May-47,81,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,2080,3080,909.74,342.74,-505.4
Daniel,D,7-Oct-01,82,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,2081,3081,731.6,3235.49,-883.24
Daniel,E,17-Jun-72,83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,1082,2082,3082,190.25,3689.98,-269.32
Daniel,F,24-Mar-86,84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,1083,2083,3083,214.25,1020.81,-814.22
Daniel,G,18-Nov-77,85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,1084,2084,3084,1930.6,3788.92,-1101.55
Daniel,H,2-May-37,86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,1085,2085,3085,1326.34,3465.11,-1977.56
Daniel,I,23-Dec-35,87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,1086,2086,3086,1927.47,2348.02,-1927.99
Daniel,J,20-Oct-43,88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,1087,2087,3087,1924.71,2813.64,-986.39
Daniel,K,8-May-73,89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,1088,2088,3088,1082.73,3471.09,-88.26
Daniel,L,19-Jul-98,90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,1089,2089,3089,585.99,180.84,-777.42
Daniel,N,4-Mar-59,91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,1090,2090,3090,364.34,2226.15,-1623.03
Daniel,O,16-Sep-03,92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,1091,2091,3091,1710.28,2761.08,-0.1
Daniel,P,16-Feb-03,93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,1092,2092,3092,1069.19,3519.67,-1963.63
Daniel,Q,7-Feb-71,94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,1093,2093,3093,498.13,205.32,-673.84
Daniel,R,20-Apr-94,95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,1094,2094,3094,745.03,1288.97,-1040.57
Daniel,S,8-Jan-91,96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,1095,2095,3095,1197.47,2944.12,-718.69
Daniel,T,22-Oct-92,97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,1096,2096,3096,894.63,4884.23,-828.59
Daniel,U,27-May-88,98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,1097,2097,3097,417.42,840.66,-978.33
Daniel,V,25-Aug-06,99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,1098,2098,3098,1187.71,2405.55,-1052.86
Daniel,W,14-Jun-96,100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,1099,2099,3099,1239.64,261.75,-470.23
Daniel,X,25-Nov-84,101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,1100,2100,3100,122.74,4668.29,-817.67
Daniel,Y,12-Mar-84,102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,1101,2101,3101,738.93,3810.87,-199.91
Daniel,Z,9-Aug-56,103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,1102,2102,3102,1825.29,4635.0,-649.08
